scenario,lib,throughput_mean,throughput_p50,latency_p50_ms,latency_p99_ms,latency_rme_pct,vs_baseline_pct,vs_brushy_pct,framework_rank,framework_gap_to_second_pct,framework_is_top1,framework_is_tied,throughput_cv_pct,samples,error
singleton_cold,brushy,3343233.00,3436427.45,0.000291,0.000501,4.0184,106.38,,1,89.35,1,0,24.96,5856128,
singleton_cold,awilix,207165.92,212449.54,0.004707,0.008893,6.6053,3238.30,-93.82,3,89.35,0,0,9.09,334656,
singleton_cold,inversify,116472.39,117896.72,0.008482,0.019739,9.2519,5915.60,-96.57,4,89.35,0,0,6.84,110755,
singleton_cold,baseline,6835091.52,7092197.28,0.000141,0.000250,4.1066,,106.38,,,0,0,24.65,11575103,
singleton_cold,tsyringe,1738716.97,1814882.02,0.000551,0.001061,4.1234,290.78,-47.19,2,89.35,0,0,10.88,2981422,
singleton_warm,brushy,6011977.49,6211177.74,0.000161,0.000251,0.0669,61.00,,1,36.65,1,0,20.60,17618795,
singleton_warm,awilix,4572814.02,4545456.01,0.000220,0.000361,2.0569,120.00,-26.82,2,36.65,0,0,28.49,11331527,
singleton_warm,inversify,4258554.96,4329004.09,0.000231,0.000321,3.0394,131.00,-30.30,3,36.65,0,0,22.94,8993600,
singleton_warm,baseline,9588293.35,9999993.70,0.000100,0.000140,0.1627,,61.00,,,0,0,7.71,28216519,
singleton_warm,tsyringe,3637586.54,3690037.34,0.000271,0.000411,3.9458,171.00,-40.59,4,36.65,0,0,18.01,9153830,
transient,brushy,4638147.45,4739337.01,0.000211,0.000351,5.7094,40.67,,1,23.70,1,0,24.71,7400034,
transient,awilix,3732646.70,3831417.50,0.000261,0.000471,3.4492,74.00,-19.16,2,23.70,0,0,34.01,8190083,
transient,inversify,3683832.28,3703704.25,0.000270,0.000421,4.0781,80.00,-21.85,3,23.70,0,0,26.15,7945116,
transient,baseline,6543116.86,6666667.64,0.000150,0.000231,3.0695,,40.67,,,0,0,28.30,12711457,
transient,tsyringe,2612952.73,2631579.87,0.000380,0.000561,5.1013,153.33,-44.47,4,23.70,0,0,18.38,4845563,
deep_graph,brushy,8692838.84,9009016.00,0.000111,0.000150,2.2547,11.00,,1,53.15,1,0,7.53,25291770,
deep_graph,awilix,5876755.80,5882352.46,0.000170,0.000300,2.0348,70.00,-34.71,2,53.15,0,0,7.02,14197841,
deep_graph,inversify,5588264.42,5555556.37,0.000180,0.000280,4.7997,80.00,-38.33,3,53.15,0,0,2.82,8987574,
deep_graph,baseline,9780883.46,9999993.70,0.000100,0.000190,4.5101,,11.00,,,0,0,4.14,15996780,
deep_graph,tsyringe,4944221.89,4999996.85,0.000200,0.000330,3.0593,100.00,-44.50,4,53.15,0,0,7.07,12187913,
wide_graph,brushy,9388849.83,9090912.03,0.000110,0.000140,0.0851,-0.00,,1,54.55,1,0,3.79,27642977,
wide_graph,awilix,5967476.67,5882352.46,0.000170,0.000250,2.0178,54.55,-35.29,2,54.55,0,0,0.26,14494478,
wide_graph,inversify,5767637.39,5882348.43,0.000170,0.000251,4.9033,54.55,-35.29,3,54.55,0,0,4.71,9193605,
wide_graph,baseline,8581226.09,9090897.59,0.000110,0.000220,108.1796,,-0.00,,,0,0,3.79,4674479,
wide_graph,tsyringe,4866349.53,4999999.76,0.000200,0.000341,2.2653,81.82,-45.00,4,54.55,0,0,0.22,11948679,
factory_deps,brushy,5879165.56,5882352.46,0.000170,0.000270,2.0106,-15.00,,1,35.29,1,0,0.00,17056190,
factory_deps,awilix,4278730.02,4347823.79,0.000230,0.000361,4.4190,15.00,-26.09,2,35.29,0,0,4.29,7605027,
factory_deps,inversify,4128318.33,4166666.27,0.000240,0.000391,0.0827,20.00,-29.17,3,35.29,0,0,2.80,12096092,
factory_deps,baseline,5047082.36,5000002.67,0.000200,0.000310,2.1963,,-15.00,,,0,0,3.92,14552591,
factory_deps,tsyringe,3543616.87,3571428.10,0.000280,0.000411,1.8621,40.00,-39.29,4,35.29,0,0,1.57,9283058,
register_batch,brushy,409474.69,414250.21,0.002414,0.003405,1.2582,-51.10,,1,64.29,1,0,1.36,998616,
register_batch,awilix,5718.50,5970.26,0.167497,5.592549,39.2577,3292.69,-98.56,4,64.29,0,0,0.69,8404,
register_batch,inversify,9580.83,9928.61,0.100719,7.442361,7.2542,1940.09,-97.60,3,64.29,0,0,1.28,12837,
register_batch,baseline,200278.15,202552.16,0.004937,0.006349,0.3519,,-51.10,,,0,0,6.15,593213,
register_batch,tsyringe,247368.88,252143.22,0.003966,0.005739,7.3641,-19.67,-39.13,2,64.29,0,0,2.22,254823,
request_scope,brushy,2812212.43,2932551.02,0.000341,0.000591,2.8099,,,1,648.97,1,0,3.52,5668124,
request_scope,awilix,372859.76,391542.70,0.002554,0.005859,70.3007,,-86.65,2,648.97,0,0,1.10,435078,
